PRODUCT_NAME,BARCODE_NUMBER,MRP_PRICE,PRODUCT_IMAGE_LINK
"Act II Corn Puffz Peppy Pudina Snack, 22g",8901512912701,4.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901512912701.png
"Britannia Classic Little Hearts, 34.5",8901063019089,9.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901063019089.jpg
"Cadbury Oreo Vanilla Cream Biscuit, 50g",8901233013091,9.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901233013091.jpg
"Cadbury Oreo Strawberry Creme Biscuit, 50g",8901233022338,9.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901233022338.jpg
"Cadbury Oreo Chocolate Creme Biscuit, 50g",8901233022321,9.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901233022321.jpg
"Amul Kaju Katri, 200g",8901262220385,157.50,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262220385.jpg
"Amul Kaju Katri, 500g",8901262220392,360.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262220392.jpg
"Amul Best Wishes 55% Dark Chocolate, 150g",8901262071536,92.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901262071536.jpeg
"Sofit Protein Cookies Raisins & Flax Seeds, 150g",8901071731317,48.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901071731317.jpg
"Sofit Protein Cookies Mango & Almond, 150g",8901071731294,48.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901071731294.jpg
"Sofit Protein Cookies Natural Cocoa & Flax Seeds, 150g",8901071731287,48.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901071731287.jpg
"Kissan Fresh Tomato Ketchup, 1Kg",8901030533006,143.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901030533006.jpg
"Kissan Fresh Tomato Ketchup, 500g",8901030532719,95.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901030532719.jpg
PikNik Classic Tomato Chilli Snack,8901565001728,10.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901565001728_1.jpg
Peppy Tomato Discs,8901565001698,10.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901565001698.jpg
Peppy Cheese Balls,8901565001711,10.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901565001711.jpg
"Jains Samosa Khari, 350g",,125.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/s/a/samosa-khari_1.jpg
"Jains Aata Khari Toasted, 200g",,63.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/a/a/aatakhari.jpg
"Jains Roasted Twist Khari, 200g",,63.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/t/w/twistkhari.jpg
"Jains Mini Toasted Khari, 300g",,125.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/m/i/minikharijar_1.jpg
"Jains Mini Toasted Khari, 650g",,220.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/m/i/minikharijar_1_1.jpg
"Maggi Rich Tomato Sauce No Onion No Garlic, 500g",8901058117752,97.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901058117752_1.jpg
"Maggi Rich Tomato Sauce No Onion No Garlic, 1Kg",8901058107517,145.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901058107517.jpg
Maggi Rich Tomato Ketchup 1 kg,8901058107487,138.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901058107487_1.jpg
"Maggi Pichkoo Rich Tomato Ketchup, 90g (10% Extra)",8901058875164,14.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901058875164.jpg
"Nestle Milkybar, 25g",8901058871890,18.00,https://www.kiranamarket.com/pub/media/catalog/product/cache/8c57341a38dc5cfb4ae0966e4e268371/8/9/8901058871890.jpg
